geometry,long_,issue_date,vehicle_ma,badge_numb,street_nam,objectid,issue_full,plate_type,route,license_st,comment_,vehicle_co,ticket_loc,lat,issue_time,violation_,violation1,vehicle_st,street_num,issue_agen,fine_amt
POINT (-71.0498 42.3503),-71.0498,2015-02-26T00:00:00.000Z,UNKN,104,SUMMER ST,4637,2015-02-26T17:29:00.000Z,CO,A17,MA,EXP: 08/14,4,280 SUMMER ST,42.3503,1899-12-30T12:29:00.000Z,323,EXPIRED INSPECTION,PU,280,1,40
POINT (-71.0498 42.3503),-71.0498,2015-02-26T00:00:00.000Z,UNKN,104,SUMMER ST,4638,2015-02-26T17:24:00.000Z,CO,A17,MA,,4,280 SUMMER ST,42.3503,1899-12-30T12:24:00.000Z,92,METER FEE UNPAID,PU,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-25T00:00:00.000Z,TOYT,104,SUMMER ST,4639,2015-02-25T21:03:00.000Z,PA,A17,MA,,8,280 SUMMER ST,42.3503,1899-12-30T16:03:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-25T00:00:00.000Z,VOLV,104,SUMMER ST,4640,2015-02-25T21:02:00.000Z,PA,A17,MA,,4,280 SUMMER ST,42.3503,1899-12-30T16:02:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-24T00:00:00.000Z,NISS,104,SUMMER ST,4641,2015-02-24T17:17:00.000Z,CO,A17,MA,,7,280 SUMMER ST,42.3503,1899-12-30T12:17:00.000Z,92,METER FEE UNPAID,VN,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-27T00:00:00.000Z,DODG,104,SUMMER ST,4642,2015-02-27T17:40:00.000Z,CO,A17,MA,,7,280 SUMMER ST,42.3503,1899-12-30T12:40:00.000Z,92,METER FEE UNPAID,VN,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-26T00:00:00.000Z,HOND,104,SUMMER ST,4643,2015-02-26T17:23:00.000Z,,A17,PA,,3,280 SUMMER ST,42.3503,1899-12-30T12:23:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-24T00:00:00.000Z,CHEV,104,SUMMER ST,4644,2015-02-24T17:16:00.000Z,,A17,PA,REFUSED TO MOVE. DRIVE OFF,7,280 SUMMER ST,42.3503,1899-12-30T12:16:00.000Z,93,DOUBLE PARK ZONE A,4D,280,1,45
POINT (-71.0498 42.3503),-71.0498,2015-02-26T00:00:00.000Z,NISS,104,SUMMER ST,4645,2015-02-26T17:22:00.000Z,PA,A17,MA,,8,280 SUMMER ST,42.3503,1899-12-30T12:22:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-24T00:00:00.000Z,FORD,104,SUMMER ST,4646,2015-02-24T17:41:00.000Z,CO,A17,MA,,7,280 SUMMER ST,42.3503,1899-12-30T12:41:00.000Z,93,DOUBLE PARK ZONE A,VN,280,1,45
POINT (-71.0498 42.3503),-71.0498,2015-02-24T00:00:00.000Z,HOND,104,SUMMER ST,4647,2015-02-24T17:09:00.000Z,PA,A17,MA,,8,280 SUMMER ST,42.3503,1899-12-30T12:09:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-25T00:00:00.000Z,VOLK,104,SUMMER ST,4648,2015-02-25T21:04:00.000Z,PA,A17,MA,,2,280 SUMMER ST,42.3503,1899-12-30T16:04:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-24T00:00:00.000Z,JEEP,104,SUMMER ST,4649,2015-02-24T22:26:00.000Z,PA,A17,MA,,1,280 SUMMER ST,42.3503,1899-12-30T17:26:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0498 42.3503),-71.0498,2015-02-25T00:00:00.000Z,CHEV,104,SUMMER ST,4650,2015-02-25T17:38:00.000Z,PA,A17,MA,,1,280 SUMMER ST,42.3503,1899-12-30T12:38:00.000Z,92,METER FEE UNPAID,4D,280,1,25
POINT (-71.0846 42.3492),-71.0846,2015-02-24T00:00:00.000Z,HYUN,141,NEWBURY ST,4653,2015-02-25T00:39:00.000Z,PA,B07,MA,,1,281 NEWBURY ST,42.3492,1899-12-30T19:39:00.000Z,63,RESIDENT PARK ONLY,4D,281,1,40
POINT (-71.0846 42.3492),-71.0846,2015-02-28T00:00:00.000Z,JEEP,259,NEWBURY ST,4654,2015-02-28T21:35:00.000Z,PA,B07,MA,EXP: 01/15,1,281 NEWBURY ST,42.3492,1899-12-30T16:35:00.000Z,323,EXPIRED INSPECTION,4D,281,1,40
POINT (-71.0846 42.3492),-71.0846,2015-02-28T00:00:00.000Z,HOND,259,NEWBURY ST,4655,2015-02-28T21:34:00.000Z,,B07,NJ,NO RPP,7,281 NEWBURY ST,42.3492,1899-12-30T16:34:00.000Z,63,RESIDENT PARK ONLY,4D,281,1,40
POINT (-71.0846 42.3492),-71.0846,2015-02-26T00:00:00.000Z,ACUR,102,NEWBURY ST,4656,2015-02-26T18:16:00.000Z,PA,B07,MA,,7,281 NEWBURY ST,42.3492,1899-12-30T13:16:00.000Z,63,RESIDENT PARK ONLY,4D,281,1,40
POINT (-71.0454 42.3373),-71.0454,2015-02-27T00:00:00.000Z,CHRY,228,BOLTON ST,4668,2015-02-28T00:38:00.000Z,,SB,FL,,1,282 BOLTON ST,42.3373,1899-12-30T19:38:00.000Z,316,SIDEWALK,VN,282,1,65
POINT (-71.0546 42.3639),-71.0546,2015-02-26T00:00:00.000Z,MERZ,144,HANOVER ST,4669,2015-02-26T13:15:00.000Z,PA,A02,MA,,1,282 HANOVER ST,42.3639,1899-12-30T08:15:00.000Z,38,LOADING ZONE,4D,282,1,55
POINT (-71.0546 42.3639),-71.0546,2015-02-27T00:00:00.000Z,FRHT,192,HANOVER ST,4670,2015-02-27T14:29:00.000Z,AP,A03,MA,,4,282 HANOVER ST,42.3639,1899-12-30T09:29:00.000Z,38,LOADING ZONE,TK,282,1,55
POINT (-71.0691 42.3428),-71.0691,2015-02-26T00:00:00.000Z,NISS,239,SHAWMUT AVE,4677,2015-02-26T17:18:00.000Z,PA,E07,MA,,1,282 SHAWMUT AVE,42.3428,1899-12-30T12:18:00.000Z,86,OVER POSTED LIMIT,4D,282,1,25
POINT (-71.0691 42.3428),-71.0691,2015-02-27T00:00:00.000Z,SUBA,234,SHAWMUT AVE,4678,2015-02-27T11:40:00.000Z,PA,B11,MA,ANGLE PARKING PROHIBITED,8,282 SHAWMUT AVE,42.3428,1899-12-30T06:40:00.000Z,23,OTHER,4D,282,1,15
POINT (-71.0307 42.3766),-71.0307,2015-02-26T00:00:00.000Z,TOYT,261,CHELSEA ST,4679,2015-02-26T13:53:00.000Z,PA,EB,MA,,1,283 CHELSEA ST,42.3766,1899-12-30T08:53:00.000Z,71,HP-DV PLATE,2D,283,1,120
POINT (-71.0544 42.3636),-71.0544,2015-02-26T00:00:00.000Z,HYUN,121,HANOVER ST,4680,2015-02-27T02:04:00.000Z,,A03,PA,NO RPP,8,283 HANOVER ST,42.3636,1899-12-30T21:04:00.000Z,63,RESIDENT PARK ONLY,4D,283,1,40
POINT (-71.0847 42.3492),-71.0847,2015-02-24T00:00:00.000Z,VOLV,141,NEWBURY ST,4681,2015-02-25T00:40:00.000Z,,B07,VT,,1,283 NEWBURY ST,42.3492,1899-12-30T19:40:00.000Z,63,RESIDENT PARK ONLY,4D,283,1,40
POINT (-71.0697 42.3429),-71.0697,2015-02-27T00:00:00.000Z,JEEP,128,SHAWMUT AVE,4682,2015-02-27T11:39:00.000Z,PA,E02,MA,ANGLE PARKING ONLY,7,283 SHAWMUT AVE,42.3429,1899-12-30T06:39:00.000Z,23,OTHER,4D,283,1,15
POINT (-71.0697 42.3429),-71.0697,2015-02-27T00:00:00.000Z,SUBA,209,SHAWMUT AVE,4683,2015-02-27T11:39:00.000Z,PA,B09,MA,ANGLE PARKING PROHIBITED,8,283 SHAWMUT AVE,42.3429,1899-12-30T06:39:00.000Z,23,OTHER,4D,283,1,15
POINT (-71.0681 42.361),-71.0681,2015-02-23T00:00:00.000Z,VOLK,114,CAMBRIDGE ST,4684,2015-02-23T14:09:00.000Z,PA,A06,MA,,8,284 CAMBRIDGE ST,42.361,1899-12-30T09:09:00.000Z,92,METER FEE UNPAID,SW,284,1,25
POINT (-71.0681 42.361),-71.0681,2015-02-27T00:00:00.000Z,LEXU,120,CAMBRIDGE ST,4685,2015-02-27T18:03:00.000Z,PA,A08,MA,,8,284 CAMBRIDGE ST,42.361,1899-12-30T13:03:00.000Z,92,METER FEE UNPAID,4D,284,1,25
POINT (-71.0681 42.361),-71.0681,2015-02-26T00:00:00.000Z,CHEV,248,CAMBRIDGE ST,4686,2015-02-26T17:36:00.000Z,CO,A07,MA,,7,284 CAMBRIDGE ST,42.361,1899-12-30T12:36:00.000Z,92,METER FEE UNPAID,VN,284,1,25
POINT (-71.0316 42.3762),-71.0316,2015-02-24T00:00:00.000Z,VOLK,202,CHELSEA ST,4687,2015-02-24T14:03:00.000Z,PA,EB,MA,NO HP PLACARD,7,284 CHELSEA ST,42.3762,1899-12-30T09:03:00.000Z,71,HP-DV PLATE,SW,284,1,120
POINT (-71.0545 42.364),-71.0545,2015-02-24T00:00:00.000Z,FRHT,265,HANOVER ST,4688,2015-02-24T16:45:00.000Z,AP,A01,MA,,7,284 HANOVER ST,42.364,1899-12-30T11:45:00.000Z,38,LOADING ZONE,TK,284,1,55
POINT (-71.1508 42.353),-71.1508,2015-02-26T00:00:00.000Z,CHEV,370,MARKET ST,4689,2015-02-26T08:18:00.000Z,PA,F04,MA,,2,284 MARKET ST,42.353,1899-12-30T03:18:00.000Z,77,DRIVEWAY,4D,284,1,25
POINT (-71.0691 42.3428),-71.0691,2015-02-23T00:00:00.000Z,NISS,239,SHAWMUT AVE,4691,2015-02-23T17:00:00.000Z,PA,E07,MA,,8,284 SHAWMUT AVE,42.3428,1899-12-30T12:00:00.000Z,86,OVER POSTED LIMIT,4D,284,1,25
POINT (-71.0691 42.3428),-71.0691,2015-02-25T00:00:00.000Z,NISS,239,SHAWMUT AVE,4692,2015-02-25T15:55:00.000Z,PA,E06,MA,,2,284 SHAWMUT AVE,42.3428,1899-12-30T10:55:00.000Z,86,OVER POSTED LIMIT,4D,284,1,25
POINT (-71.0691 42.3428),-71.0691,2015-02-27T00:00:00.000Z,BMW,239,SHAWMUT AVE,4693,2015-02-27T11:40:00.000Z,PA,E05,MA,ANGLE PARKING,1,284 SHAWMUT AVE,42.3428,1899-12-30T06:40:00.000Z,23,OTHER,4D,284,1,15
POINT (-71.0371 42.3679),-71.0371,2015-02-23T00:00:00.000Z,ACUR,202,SUMNER ST,4694,2015-02-23T15:53:00.000Z,PA,EB,MA,,1,284 SUMNER ST,42.3679,1899-12-30T10:53:00.000Z,329,OVER POST LIM-ZONE B,2D,284,1,25
POINT (-71.0739 42.3472),-71.0739,2015-02-26T00:00:00.000Z,HYUN,234,COLUMBUS AV,4695,2015-02-26T15:20:00.000Z,PA,B12,MA,,4,285 COLUMBUS AV,42.3472,1899-12-30T10:20:00.000Z,92,METER FEE UNPAID,2D,285,1,25
POINT (-71.0739 42.3472),-71.0739,2015-02-27T00:00:00.000Z,SUBA,294,COLUMBUS AV,4696,2015-02-27T18:32:00.000Z,PA,B10,MA,,2,285 COLUMBUS AV,42.3472,1899-12-30T13:32:00.000Z,92,METER FEE UNPAID,4D,285,1,25
POINT (-71.0739 42.3472),-71.0739,2015-02-24T00:00:00.000Z,CHEV,294,COLUMBUS AV,4697,2015-02-24T22:04:00.000Z,,B12,TN,,7,285 COLUMBUS AV,42.3472,1899-12-30T17:04:00.000Z,92,METER FEE UNPAID,4D,285,1,25
POINT (-71.0739 42.3472),-71.0739,2015-02-24T00:00:00.000Z,HOND,345,COLUMBUS AV,4698,2015-02-24T19:47:00.000Z,PA,B09,MA,,2,285 COLUMBUS AV,42.3472,1899-12-30T14:47:00.000Z,92,METER FEE UNPAID,4D,285,1,25
POINT (-71.0739 42.3472),-71.0739,2015-02-23T00:00:00.000Z,ACUR,140,COLUMBUS AV,4699,2015-02-23T23:45:00.000Z,PA,B12,MA,,8,285 COLUMBUS AV,42.3472,1899-12-30T18:45:00.000Z,92,METER FEE UNPAID,4D,285,1,25
POINT (-71.0739 42.3472),-71.0739,2015-02-24T00:00:00.000Z,HOND,345,COLUMBUS AVE,4700,2015-02-24T19:48:00.000Z,PA,B09,MA,EXP: 0115. EXPIRED INSPECTION STICKER,2,285 COLUMBUS AVE,42.3472,1899-12-30T14:48:00.000Z,323,EXPIRED INSPECTION,4D,285,1,40
POINT (-71.0526 42.3321),-71.0526,2015-02-25T00:00:00.000Z,SCI,251,DORCHESTER ST,4701,2015-02-25T10:06:00.000Z,PA,SB,MA,,8,285 DORCHESTER ST,42.3321,1899-12-30T05:06:00.000Z,329,OVER POST LIM-ZONE B,4D,285,1,25
POINT (-71.1591 42.3417),-71.1591,2015-02-25T00:00:00.000Z,FORD,338,FOSTER ST,4702,2015-02-25T10:08:00.000Z,PA,F06,MA,NO STOPPING - ANYTIME,8,285 FOSTER ST,42.3417,1899-12-30T05:08:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0848 42.3492),-71.0848,2015-02-25T00:00:00.000Z,TOYT,102,NEWBURY ST,4704,2015-02-26T00:11:00.000Z,,B07,NJ,,1,285 NEWBURY ST,42.3492,1899-12-30T19:11:00.000Z,63,RESIDENT PARK ONLY,4D,285,1,40
POINT (-71.0496 42.3497),-71.0496,2015-02-26T00:00:00.000Z,HOND,210,SUMMER ST,4705,2015-02-26T15:37:00.000Z,PA,A17,MA,,8,285 SUMMER ST,42.3497,1899-12-30T10:37:00.000Z,313,HYDRANT,4D,285,1,100
POINT (-71.0496 42.3497),-71.0496,2015-02-27T00:00:00.000Z,INFI,104,SUMMER ST,4706,2015-02-27T16:38:00.000Z,PA,A17,MA,NO STOPPING - ANYTIME,1,285 SUMMER ST,42.3497,1899-12-30T11:38:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-27T00:00:00.000Z,GMC,104,SUMMER ST,4707,2015-02-27T16:39:00.000Z,CO,A17,MA,EXP: 11/14,2,285 SUMMER ST,42.3497,1899-12-30T11:39:00.000Z,323,EXPIRED INSPECTION,PU,285,1,40
POINT (-71.0496 42.3497),-71.0496,2015-02-24T00:00:00.000Z,JEEP,104,SUMMER ST,4708,2015-02-24T16:31:00.000Z,PA,A17,MA,NO STOPPING - ANYTIME,4,285 SUMMER ST,42.3497,1899-12-30T11:31:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-24T00:00:00.000Z,FORD,210,SUMMER ST,4709,2015-02-24T19:45:00.000Z,CO,A17,MA,NO STOPPING - ANYTIME,7,285 SUMMER ST,42.3497,1899-12-30T14:45:00.000Z,14,NO STOP OR STAND,VN,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-27T00:00:00.000Z,CHEV,104,SUMMER ST,4710,2015-02-27T17:39:00.000Z,CO,A17,MA,NO STOPPING - ANYTIME,7,285 SUMMER ST,42.3497,1899-12-30T12:39:00.000Z,14,NO STOP OR STAND,VN,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-25T00:00:00.000Z,ACUR,104,SUMMER ST,4711,2015-02-25T17:39:00.000Z,PA,A17,MA,NO STOPPING - ANYTIME,1,285 SUMMER ST,42.3497,1899-12-30T12:39:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-24T00:00:00.000Z,MERZ,104,SUMMER ST,4712,2015-02-24T16:30:00.000Z,PA,A17,MA,NO STOPPING - ANYTIME,1,285 SUMMER ST,42.3497,1899-12-30T11:30:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-25T00:00:00.000Z,TOYT,104,SUMMER ST,4713,2015-02-25T19:46:00.000Z,PA,A17,MA,NO STOPPING - ANYTIME,8,285 SUMMER ST,42.3497,1899-12-30T14:46:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-25T00:00:00.000Z,BMW,279,SUMMER ST,4714,2015-02-26T03:03:00.000Z,PA,E05,MA,,1,285 SUMMER ST,42.3497,1899-12-30T22:03:00.000Z,63,RESIDENT PARK ONLY,4D,285,1,40
POINT (-71.0496 42.3497),-71.0496,2015-02-27T00:00:00.000Z,GMC,104,SUMMER ST,4715,2015-02-27T16:38:00.000Z,CO,A17,MA,NO STOPPING - ANYTIME,2,285 SUMMER ST,42.3497,1899-12-30T11:38:00.000Z,14,NO STOP OR STAND,PU,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-28T00:00:00.000Z,CHEV,183,SUMMER ST,4716,2015-02-28T23:33:00.000Z,PA,A17,MA,,1,285 SUMMER ST,42.3497,1899-12-30T18:33:00.000Z,63,RESIDENT PARK ONLY,4D,285,1,40
POINT (-71.0496 42.3497),-71.0496,2015-02-24T00:00:00.000Z,FORD,142,SUMMER ST,4717,2015-02-24T19:43:00.000Z,CO,A20,MA,,7,285 SUMMER ST,42.3497,1899-12-30T14:43:00.000Z,93,DOUBLE PARK ZONE A,TK,285,1,45
POINT (-71.0496 42.3497),-71.0496,2015-02-24T00:00:00.000Z,NISS,104,SUMMER ST,4718,2015-02-24T16:31:00.000Z,,A17,NJ,NO RPP,4,285 SUMMER ST,42.3497,1899-12-30T11:31:00.000Z,63,RESIDENT PARK ONLY,PU,285,1,40
POINT (-71.0496 42.3497),-71.0496,2015-02-26T00:00:00.000Z,JEEP,104,SUMMER ST,4719,2015-02-26T17:33:00.000Z,PA,A17,MA,NO STOPPING - ANYTIME,8,285 SUMMER ST,42.3497,1899-12-30T12:33:00.000Z,14,NO STOP OR STAND,4D,285,1,75
POINT (-71.0496 42.3497),-71.0496,2015-02-26T00:00:00.000Z,UPS,210,SUMMER ST,4720,2015-02-26T15:39:00.000Z,CO,A17,MA,NO STOPPING - ANYTIME,3,285 SUMMER ST,42.3497,1899-12-30T10:39:00.000Z,14,NO STOP OR STAND,TK,285,1,75
POINT (-71.0656 42.3496),-71.0656,2015-02-23T00:00:00.000Z,LINC,103,TREMONT ST,4721,2015-02-23T05:01:00.000Z,LV,E01,MA,TOUR BUS ONLY,1,285 TREMONT ST,42.3496,1899-12-30T00:01:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-23T00:00:00.000Z,NISS,330,TREMONT ST,4722,2015-02-23T05:01:00.000Z,PA,E01,MA,,7,285 TREMONT ST,42.3496,1899-12-30T00:01:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-23T00:00:00.000Z,CHEV,103,TREMONT ST,4723,2015-02-23T05:02:00.000Z,PA,E01,MA,TOUR BUS ONLY,8,285 TREMONT ST,42.3496,1899-12-30T00:02:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-23T00:00:00.000Z,FORD,330,TREMONT ST,4724,2015-02-23T05:03:00.000Z,PA,E01,MA,,1,285 TREMONT ST,42.3496,1899-12-30T00:03:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-23T00:00:00.000Z,HOND,103,TREMONT ST,4725,2015-02-23T05:04:00.000Z,PA,E01,MA,TOUR BUS ONLY,4,285 TREMONT ST,42.3496,1899-12-30T00:04:00.000Z,324,B - BUS STOP/STAND,2D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-27T00:00:00.000Z,TOYT,103,TREMONT ST,4726,2015-02-27T06:18:00.000Z,PA,E01,MA,TOUR BUS ONLY,8,285 TREMONT ST,42.3496,1899-12-30T01:18:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-27T00:00:00.000Z,DODG,118,TREMONT ST,4727,2015-02-27T05:07:00.000Z,PA,E01,MA,TOUR BUS ONLY,1,285 TREMONT ST,42.3496,1899-12-30T00:07:00.000Z,324,B - BUS STOP/STAND,VN,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-28T00:00:00.000Z,CHEV,121,TREMONT ST,4728,2015-03-01T02:05:00.000Z,PA,B14,MA,,1,285 TREMONT ST,42.3496,1899-12-30T21:05:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0656 42.3496),-71.0656,2015-02-27T00:00:00.000Z,MERZ,355,TREMONT ST,4729,2015-02-28T02:06:00.000Z,PA,E03,MA,TOUR BUS ONLY,8,285 TREMONT ST,42.3496,1899-12-30T21:06:00.000Z,324,B - BUS STOP/STAND,4D,285,1,100
POINT (-71.0737 42.3468),-71.0737,2015-02-25T00:00:00.000Z,SAAB,118,COLUMBUS AVE,4731,2015-02-25T09:20:00.000Z,PA,E01,MA,NO STOPPING - ANYTIME,3,286 COLUMBUS AVE,42.3468,1899-12-30T04:20:00.000Z,14,NO STOP OR STAND,4D,286,1,75
POINT (-71.0737 42.3468),-71.0737,2015-02-26T00:00:00.000Z,DODG,355,COLUMBUS AVE,4732,2015-02-27T02:26:00.000Z,PA,E03,MA,NO STOPPING - ANYTIME,8,286 COLUMBUS AVE,42.3468,1899-12-30T21:26:00.000Z,14,NO STOP OR STAND,4D,286,1,75
